Id,Sales
1,4222
857,4462
1713,4776
2569,4868
3425,0
4281,4002
5137,3781
5993,3340
6849,3328
7705,3433
8561,3796
9417,0
10273,4344
11129,5004
11985,5119
12841,5389
13697,5288
14553,5795
15409,0
16265,4189
17121,4070
17977,3644
18833,3398
19689,3444
20545,3689
21401,0
22257,3908
23113,4314
23969,4258
24825,4488
25681,5000
26537,5520
27393,0
28249,4237
29105,3667
29961,3782
30817,3850
31673,3519
32529,3896
33385,0
34241,3979
35097,4497
35953,4377
36809,5199
37665,5175
38521,5704
39377,0
40233,4715
2,7643
858,8386
1714,8867
2570,10069
3426,0
4282,3683
5138,5638
5994,5768
6850,5862
7706,6255
8562,6319
9418,0
10274,4577
11130,7395
11986,8050
12842,8682
13698,9252
14554,13072
15410,0
16266,4277
17122,6511
17978,5648
18834,5498
19690,5780
20546,5667
21402,0
22258,3653
23114,7014
23970,7141
24826,8580
25682,9361
26538,9375
27394,0
28250,3344
29106,5703
29962,5872
30818,5846
31674,5741
32530,5816
33386,0
34242,3399
35098,6983
35954,7814
36810,8080
37666,8874
38522,9748
39378,0
40234,4799
3,9384
859,9328
1715,11272
2571,11711
3427,0
4283,6627
5139,9342
5995,9265
6851,8937
7707,9230
8563,9968
9419,0
10275,6270
11131,11462
11987,11093
12843,10930
13699,11650
14555,13799
15411,0
16267,6581
17123,9160
17979,9165
18835,8432
19691,9286
20547,10131
21403,0
22259,6596
23115,10204
23971,9853
24827,9840
25683,11396
26539,14477
27395,0
28251,6588
29107,9560
29963,9422
30819,8960
31675,9619
32531,10590
33387,0
34243,6715
35099,9781
35955,9953
36811,9789
37667,12522
38523,14647
39379,0
40235,6285
4,8556
860,7994
1716,8410
2572,9216
3428,0
4284,3649
5140,5808
5996,5675
6852,5408
7708,5601
8564,6417
9420,0
10276,3675
11132,6623
11988,8683
12844,8260
13700,8211
14556,9412
15412,0
16268,4894
17124,5898
17980,6115
18836,5490
19692,5818
20548,6035
21404,0
22260,3465
23116,7038
23972,8440
24828,7409
25684,7476
26540,8889
27396,0
28252,3673
29108,5719
29964,5850
30820,5464
31676,5627
32532,6129
33388,0
34244,3653
35100,7289
35956,8654
36812,7857
37668,7743
38524,8984
39380,0
40236,3675
5,7699
861,7507
1717,7482
2573,11001
3429,0
4285,5526
5141,5774
5997,6000
6853,5885
7709,6439
8565,7430
9421,0
10277,6344
11133,9626
11989,9379
12845,9911
13701,9932
14557,11075
15413,0
16269,6250
17125,6355
17981,6322
18837,6025
19693,6305
20549,6874
21405,0
22261,5638
23117,7519
23973,7653
24829,7709
25685,8518
26541,10912
